Period,Term,Information Type,Information
July 2020,September 2019 to August 2020,Other Information,"At the end of July, a total of seven stores remained temporarily closed and 93 stores were operating shorter working hours due to COVID-19. Stores that were  either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations. "
June 2020,September 2019 to August 2020,Other Information,"・At the end of June, a total of six stores remained temporarily closed and 143 stores were operating shorter working hours due to COVID-19. Stores that were   either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data   calculations.  ・We opened UNIQLO Harajuku on June 5 and our largest global flagship store in Japan, UNIQLO TOKYO, on June 19. Both these new stores were designed   specifically to enable customers to experience our LifeWear clothing concept and products."
May 2020,September 2019 to August 2020,Other Information,"A maximum of 311 stores were temporarily closed in May due to the impact of COVID-19 and 354 stores operated reduced opening hours. Following the lifting of the state of emergency in Japan, the number of temporarily closed stores declined to 46 at the end of May. The monthly data were calculated without excluding stores that were either open for fewer hours or temporarily closed from the total number of same stores or own stores. "
April 2020,September 2019 to August 2020,Other Information,"In April, a maximum of 299 stores operated shorter opening hours and 311 stores were temporarily closed due to COVID-19.  The monthly data were calculated without excluding stores that were either open for fewer hours or closed temporarily from the total number of same stores   or own stores."
March 2020,September 2019 to August 2020,Other Information,"In the wake of COVID-19, we reduced operating hours at a maximum of approximately 260 stores in March, and temporarily closed 63 stores on the weekend of   March 28 – 29, 2020. 　The monthly data were calculated without excluding stores that were either open for fewer hours or closed temporarily from the total number of same stores or own stores.    1/2"
January 2020,September 2019 to August 2020,Other Information,"One store that was unable to operate for a period of one week or more after Typhoon Hagibis made landfall on October 12, 2019 was removed from the same-store total. "
December 2019,September 2019 to August 2020,Other Information,"・We opened our first store in Vietnam, the UNIQLO Dong Khoi Store, in Ho Chi Minh City on December 6, 2019. ・We temporarily closed 352 stores when Typhoon Hagibis hit land in Japan on October 12, 2019. 　Of that total, one store was forced to cease business for over a week, and was removed from the same-store calculation as a result."
November 2019,September 2019 to August 2020,Other Information,"We temporarily closed 352 stores when Typhoon Hagibis hit land in Japan on October 12, 2019. Of that total, one store was forced to cease business for over a week, and was removed from the same-store calculation as a result."
October 2019,September 2019 to August 2020,Other Information,"We opened our first store in India, the UNIQLO Ambience Mall Vasant Kunj Store in New Delhi on October 4, 2019. We temporarily closed 352 stores when Typhoon Hagibis hit land in Japan on October 12, 2019. Of that total, one store was forced to cease business for over a week, and was removed from the same-store calculation as a result."
September 2019,September 2019 to August 2020,Other Information,"We opened the first UNIQLO store in Italy, the UNIQLO Piazza Cordusio store, in Milan on September 13. 2/2"
