Period,Term,Information Type,Information
October 2020,September 2020 to August 2021,Other Information,"At the end of October, a total of four stores remained temporarily closed and 87 stores were operating shorter working hours due to COVID-19.  Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
November 2020,September 2020 to August 2021,Other Information,"At the end of November, a total of five stores remained temporarily closed and 81 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
December 2020,September 2020 to August 2021,Other Information,"At the end of December, a total of five stores remained temporarily closed and 84 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
January 2021,September 2020 to August 2021,Other Information,"At the end of January, a total of four stores remained temporarily closed and 159 stores were operating shorter working hours due to COVID-19.  Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
February 2021,September 2020 to August 2021,Other Information,"At the end of February, a total of five stores remained temporarily closed and 172 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations. 1/2"
March 2021,September 2020 to August 2021,Other Information,"At the end of March, a total of five stores remained temporarily closed and 79 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
April 2021,September 2020 to August 2021,Other Information,"In April, a maximum of 71 stores operated shorter opening hours and 83 stores were temporarily closed due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
May 2021,September 2020 to August 2021,Other Information,"In May, a maximum of 190 stores operated shorter opening hours and 83 stores were temporarily closed due to COVID-19. The number of temporarily closed stores declined to 32 at the end of May. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
June 2021,September 2020 to August 2021,Other Information,"At the end of June, a total of five stores remained temporarily closed and 149 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations."
July 2021,September 2020 to August 2021,Other Information,"At the end of July, a total of six stores remained temporarily closed and 143 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations. "
August 2021,September 2020 to August 2021,Other Information,"At the end of August, a total of four stores remained temporarily closed and 196 stores were operating shorter working hours due to COVID-19. Stores that were either open for fewer hours or temporarily closed have not been excluded from the total number of same stores or own stores in the monthly sales data calculations.  2/2"
